T X1 X2 U1 U2 Vx Vsup
3.400000000000001354e-01 4.918990643458782119e-01 -4.006625246749896951e-01 -7.879176223761588105e-01 6.157806592847009375e-01 2.012475740916435663e-01 6.810374535669106999e-01
3.500000000000001443e-01 4.689527407946093018e-01 -3.979647870595592329e-01 -7.753462159649563423e-01 6.315364165183378065e-01 1.891463224190681747e-01 6.723702542007147231e-01
3.600000000000001532e-01 4.465351727660450409e-01 -3.947030950651928549e-01 -7.624566028551211794e-01 6.470393564248066998e-01 1.775920968856221638e-01 6.638863643900422273e-01
3.700000000000001621e-01 4.246525786820458670e-01 -3.908989757726386571e-01 -7.492536335681295734e-01 6.622831664665463913e-01 1.665659109207045518e-01 6.555814510380159055e-01
3.800000000000001710e-01 4.033106092322489289e-01 -3.865738152251608217e-01 -7.357422662459451868e-01 6.772616316160843253e-01 1.560493810685122940e-01 6.474512929637370462e-01
3.900000000000001799e-01 3.825143576952007018e-01 -3.817488483724752468e-01 -7.219275629711318087e-01 6.919686364442845239e-01 1.460247085383415411e-01 6.394917778350562854e-01
4.000000000000001887e-01 3.622683703411825884e-01 -3.764451493501674850e-01 -7.078146858296522348e-01 7.063981671294670139e-01 1.364746613094630634e-01 6.316988991884180393e-01
4.100000000000001976e-01 3.425766569117512650e-01 -3.706836220920148306e-01 -6.934088926843352541e-01 7.205443133814074530e-01 1.273825567740436981e-01 6.240687535332518632e-01
4.200000000000002065e-01 3.234427011715191869e-01 -3.644849912726471075e-01 -6.787155326208500483e-01 7.344012702734085130e-01 1.187322449020751514e-01 6.165975375384741275e-01
4.300000000000002154e-01 3.048694715282707079e-01 -3.578697935780124073e-01 -6.637400410205369639e-01 7.479633399746645761e-01 1.105080919127481298e-01 6.092815452987153657e-01
4.400000000000002243e-01 2.868594317181621389e-01 -3.508583693011700366e-01 -6.484879342052520812e-01 7.612249333739697921e-01 1.026949644371715764e-01 6.021171656779752412e-01
4.500000000000002331e-01 2.694145515535069646e-01 -3.434708542610154236e-01 -6.329648035880550694e-01 7.741805715843911306e-01 9.527821415778447989e-02 5.951008797284615959e-01
4.600000000000002420e-01 2.525363177315280705e-01 -3.357271720416572514e-01 -6.171763092495360370e-01 7.868248873168165458e-01 8.824366291024390851e-02 5.882292581824460909e-01
4.700000000000002509e-01 2.362257447034945834e-01 -3.276470265503189094e-01 -6.011281728420631021e-01 7.991526261081562943e-01 8.157758823399299808e-02 5.814989590150219101e-01
4.800000000000002598e-01 2.204833856049007168e-01 -3.192498948918378043e-01 -5.848261697022884009e-01 8.111586473873960701e-01 7.526670935812440622e-02 5.749067250757207148e-01
4.900000000000002687e-01 2.053093432488299341e-01 -3.105550205580894230e-01 -5.682761200245183275e-01 8.228379253594716447e-01 6.929817360955060901e-02 5.684493817869978871e-01
5.000000000000002220e-01 1.907032811864600719e-01 -3.015814069309881718e-01 -5.514838789123138740e-01 8.341855496829396754e-01 6.365954323087816280e-02 5.621238349076570495e-01
5.100000000000002309e-01 1.766644348408896170e-01 -2.923478110981255762e-01 -5.344553250805434974e-01 8.451967259124059106e-01 5.833878259575812908e-02 5.559270683593430240e-01
5.200000000000002398e-01 1.631916227232257099e-01 -2.828727379806224018e-01 -5.171963479218328885e-01 8.558667756703249863e-01 5.332424580984674450e-02 5.498561421142783567e-01
5.300000000000002487e-01 1.502832577433360073e-01 -2.731744347734197387e-01 -4.997128325754982003e-01 8.661911365047393341e-01 4.860466468586366329e-02 5.439081901424863696e-01
5.400000000000002576e-01 1.379373586320498946e-01 -2.632708856990553237e-01 -4.820106425374030001e-01 8.761653613791633433e-01 4.416913708157589602e-02 5.380804184167776727e-01
5.500000000000002665e-01 1.261515614972072707e-01 -2.531798070770120979e-01 -4.640955992170266997e-01 8.857851177274254084e-01 4.000711558986836530e-02 5.323701029738446833e-01
5.600000000000002753e-01 1.149231315432147904e-01 -2.429186427120520742e-01 -4.459734576709567522e-01 8.950461859887519633e-01 3.610839657038233258e-02 5.267745880298391192e-01
5.700000000000002842e-01 1.042489749932760668e-01 -2.325045596066527553e-01 -4.276498775020768917e-01 9.039444575152051353e-01 3.246310951251611676e-02 5.212912841488749338e-01
5.800000000000002931e-01 9.412565126605301757e-02 -2.219544440048683842e-01 -4.091303875846792337e-01 9.124759317126179825e-01 2.906170671988443990e-02 5.159176664629231412e-01
5.900000000000003020e-01 8.454938547540757909e-02 -2.112848977778199466e-01 -3.904203428185615832e-01 9.206367122342216103e-01 2.589495330662644479e-02 5.106512729416278207e-01
6.000000000000003109e-01 7.551608134483975276e-02 -2.005122351648236934e-01 -3.715248704709405159e-01 9.284230019886144936e-01 2.295391749623700711e-02 5.054897027106057816e-01
6.100000000000003197e-01 6.702133465992804462e-02 -1.896524798892555985e-01 -3.524488027429920622e-01 9.358310966435297029e-01 2.022996121387128296e-02 5.004306144168341186e-01
6.200000000000003286e-01 5.906044742649724927e-02 -1.787213626751448792e-01 -3.331965908557213973e-01 9.428573761933058961e-01 1.771473096333935765e-02 4.954717246397771779e-01
6.300000000000003375e-01 5.162844296559116614e-02 -1.677343191999784988e-01 -3.137721939593985376e-01 9.494982939942049338e-01 1.540014898026578760e-02 4.906108063469357128e-01
6.400000000000003464e-01 4.472008226842279222e-02 -1.567064885324823409e-01 -2.941789331571980637e-01 9.557503624307410739e-01 1.327840465313776148e-02 4.858456873925446895e-01
6.500000000000003553e-01 3.832988207121850593e-02 -1.456527121231040722e-01 -2.744192962649337764e-01 9.616101340134984854e-01 1.134194620420467259e-02 4.811742490581819576e-01
6.600000000000003642e-01 3.245213531778136373e-02 -1.345875334425816472e-01 -2.544946715072853860e-01 9.670741761490682098e-01 9.583472622420811937e-03 4.765944246340852453e-01
6.700000000000003730e-01 2.708093500227053835e-02 -1.235251984053478969e-01 -2.344049762062027364e-01 9.721390369333851034e-01 7.995925840838882109e-03 4.721041980400100257e-01
6.800000000000003819e-01 2.221020290736889016e-02 -1.124796567781801149e-01 -2.141481259765492529e-01 9.768011978600006362e-01 6.572483151061848418e-03 4.677016024844967146e-01
6.900000000000003908e-01 1.783372562440059192e-02 -1.014645648757677154e-01 -1.937192538623416227e-01 9.810570068467059368e-01 5.306549847537638843e-03 4.633847191614446914e-01
7.000000000000003997e-01 1.394520175507118001e-02 -9.049329001231072589e-02 -1.731095226184789504e-01 9.849025805524129762e-01 4.191752094620908309e-03 4.591516759829269434e-01
7.100000000000004086e-01 1.053830695110605405e-02 -7.957891746816717071e-02 -1.523042453350525738e-01 9.883336566427959324e-01 3.221930009400546333e-03 4.550006463472088813e-01
7.200000000000004174e-01 7.606788767511099558e-03 -6.873426126119097646e-02 -1.312797664419303179e-01 9.913453600652762931e-01 2.391130953237595620e-03 4.509298479409599159e-01
7.300000000000004263e-01 5.144614318559099717e-03 -5.797188105249069523e-02 -1.099979719234724235e-01 9.939318116313226037e-01 1.693603024625426603e-03 4.469375415746876246e-01
7.400000000000004352e-01 3.146218632528077330e-03 -4.730410973975925082e-02 -8.839587802961702823e-02 9.960854224148514291e-01 1.123788744977426450e-03 4.430220300504374986e-01
7.500000000000004441e-01 1.606964767413075149e-03 -3.674310161668876973e-02 -6.636384827893197780e-02 9.977954898883893975e-01 6.763189260890118716e-04 4.391816570608414461e-01
7.600000000000004530e-01 5.241139779310970918e-04 -2.630092589310228240e-02 -4.369337445471046383e-02 9.990449884908889633e-01 3.460066991481604206e-04 4.354148061186191576e-01
7.700000000000004619e-01 -1.006985890971260781e-04 -1.598978307517538722e-02 -1.992363105133479126e-02 9.998015047626854779e-01 1.278416514985057087e-04 4.317198995156620311e-01
7.800000000000004707e-01 -2.526912516187484439e-04 -5.822698001846914398e-03 6.297558371434893235e-03 9.999801701826683820e-01 1.698383244467834748e-05 4.280953973108571620e-01
7.900000000000004796e-01 1.656212842290617467e-04 4.181205374623074220e-03 4.335681390782687716e-02 9.990596512159632958e-01 8.754954397283283067e-06 4.245397963458321655e-01
